12/11/1993,Janet Jackson,"""Again""",Virgin,2,[4]
12/25/1993,Mariah Carey,"""Hero""",Columbia,4,[4]
,,,,,
1/22/1994,"Bryan Adams, Rod Stewart & Sting","""All For Love""",A&M,3,[4]
2/12/1994,Céline Dion,"""The Power Of Love""",550 Music,4,[4]
3/12/1994,Ace Of Base,"""The Sign"" ? (1994)",Arista,6,[4]
4/9/1994,R. Kelly,"""Bump n' Grind""",Jive,4,[4]
5/21/1994,All-4-One,"""I Swear""",Atlantic,11,[4]
8/6/1994,Lisa Loeb & Nine Stories,"""Stay (I Missed You)""",RCA,3,[4]
8/27/1994,Boyz II Men,"""I'll Make Love to You""",Motown,14,[4]
12/3/1994,Boyz II Men,"""On Bended Knee""",Motown,6,[4]
12/17/1994,Ini Kamoze,"""Here Comes the Hotstepper""",Columbia,2,[4]
,,,,,
1/28/1995,TLC,"""Creep""",Arista,4,[4]
2/25/1995,Madonna,"""Take A Bow""",Warner Bros.,7,[4]
4/15/1995,Montell Jordan,"""This Is How We Do It""",IDJMG,7,[4]
6/3/1995,Bryan Adams,"""Have You Ever Really Loved A Woman""",A&M,5,[4]
7/8/1995,TLC,"""Waterfalls""",Arista,7,[4]
8/26/1995,Seal,"""Kiss from a Rose""",Warner Bros.,1,[4]
9/2/1995,Michael Jackson,"""You Are Not Alone""",Epic,1,[4]
9/9/1995,Coolio featuring L.V.,"""Gangsta's Paradise""? (1995)",MCA,3,[4]
9/30/1995,Mariah Carey,"""Fantasy""",Columbia,8,[4]
11/25/1995,Whitney Houston,"""Exhale (Shoop Shoop)""",Arista,1,[4]
12/2/1995,Mariah Carey & Boyz II Men,"""One Sweet Day""? (1990s)",Columbia,16,[1]
,,,,,
3/23/1996,Céline Dion,"""Because You Loved Me""",550 Music,6,[4]
5/4/1996,Mariah Carey,"""Always Be My Baby""",Columbia,2,[4]
5/18/1996,Bone Thugs-N-Harmony,"""Tha Crossroads""",Relativity,8,[4]
7/13/1996,2Pac featuring K-Ci & JoJo / Dr. Dre and Roger Troutman,"""How Do U Want It"" / ""California Love""",Interscope,2,[4]
7/27/1996,Toni Braxton,"""You're Makin' Me High"" / ""Let It Flow""",Arista,1,[4]
8/3/1996,Los Del Rio,"""Macarena (Bayside Boys Mix)""? (1996)",RCA,14,[4]
11/9/1996,Blackstreet featuring Dr. Dre,"""No Diggity""",Interscope,4,[4]
12/7/1996,Toni Braxton,"""Un-Break My Heart""",Arista,11,[4]
,,,,,
2/22/1997,Spice Girls,"""Wannabe""",Virgin,4,[4]
3/22/1997,Puff Daddy featuring Mase,"""Can't Nobody Hold Me Down""",Arista,6,[4]
5/3/1997,The Notorious B.I.G.,"""Hypnotize""",Arista,3,[4]
5/24/1997,Hanson,"""MMMBop""",IDJMG,3,[4]
6/14/1997,Puff Daddy & Faith Evans featuring 112,"""I'll Be Missing You""",Arista,11,[4]
8/30/1997,The Notorious B.I.G. featuring Puff Daddy & Mase,"""Mo Money Mo Problems""",Arista,2,[4]
9/13/1997,Mariah Carey,"""Honey""",Columbia,3,[4]
10/4/1997,Boyz II Men,"""4 Seasons of Loneliness""",Motown,1,[4]
10/11/1997,Elton John,"""Candle in the Wind '97"" /",A&M,14,[4]
,,"""Something About the Way You Look Tonight""? (1997)",,,
,,,,,
1/17/1998,Savage Garden,"""Truly Madly Deeply""",Columbia,2,[4]
1/31/1998,Janet Jackson,"""Together Again""",Virgin,2,[4]
2/14/1998,Usher,"""Nice & Slow""",Arista,2,[4]
2/28/1998,Céline Dion,"""My Heart Will Go On""",550 Music,2,[4]
3/14/1998,Will Smith,"""Gettin' Jiggy Wit It""",Columbia,3,[4]
4/4/1998,K-Ci & JoJo,"""All My Life""",MCA,3,[4]
4/25/1998,Next,"""Too Close""?(1998)",Arista,5,[4]
5/23/1998,Mariah Carey,"""My All""",Columbia,1,[4]
6/6/1998,Brandy & Monica,"""The Boy Is Mine""",Atlantic,13,[4]
9/5/1998,Aerosmith,"""I Don't Want to Miss a Thing""",Columbia,4,[4]
10/3/1998,Monica,"""The First Night""",Arista,5,[4]
10/17/1998,Barenaked Ladies,"""One Week""",Reprise,1,[4]
11/14/1998,Lauryn Hill,"""Doo Wop (That Thing)""",Columbia,2,[4]
11/28/1998,Divine,"""Lately""",Red Ant,1,[4]
12/5/1998,R. Kelly & Céline Dion,"""I'm Your Angel""",Jive,6,[4]
,,,,,
1/16/1999,Brandy,"""Have You Ever""",Atlantic,2,[4]
1/30/1999,Britney Spears,"""Baby One More Time""",Jive,2,[5]
2/13/1999,Monica,"""Angel of Mine""",Arista,4,[4]
3/13/1999,Cher,"""Believe""? (1999)",Warner Bros.,4,[4]
4/10/1999,TLC,"""No Scrubs""",Arista,4,[4]
5/8/1999,Ricky Martin,"""Livin' la Vida Loca""",Columbia,5,[4]
6/12/1999,Jennifer Lopez,"""If You Had My Love""",Work Records,5,[4]
7/17/1999,Destiny's Child,"""Bills, Bills, Bills""",Columbia,1,[4]
7/24/1999,Will Smith featuring Dru Hill & Kool Moe Dee,"""Wild Wild West""",Columbia,1,[4]
7/31/1999,Christina Aguilera,"""Genie in a Bottle""",RCA,5,[4]
9/4/1999,Enrique Iglesias,"""Bailamos""",Interscope,2,[4]
9/18/1999,TLC,"""Unpretty""",Arista,3,[4]
10/9/1999,Mariah Carey featuring Jay-Z,"""Heartbreaker""",Columbia,2,[4]
10/23/1999,Santana featuring Rob Thomas,"""Smooth""",Arista,12,[4]
