7/27/1940,Tommy Dorsey,"""I'll Never Smile Again""",Victor,12,[1]
10/19/1940,Bing Crosby,"""Only Forever""",Decca,9,[1]
12/21/1940,Artie Shaw,"""Frenesi""",Victor,12,[1]
1941,,,,,
3/15/1941,Glenn Miller,"""Song of the Volga Boatmen""",Bluebird,1,[1]
3/22/1941,Artie Shaw,"""Frenesi""",Victor,1,[1]
3/29/1941,Jimmy Dorsey,"""Amapola (Pretty Little Poppy)""",Decca,10,[1]
6/7/1941,Jimmy Dorsey,"""My Sister and I""",Decca,1,[1]
6/14/1941,Jimmy Dorsey,"""Maria Elena""",Decca,1,[1]
6/21/1941,Sammy Kaye,"""Daddy""",Victor,1,[1]
6/28/1941,Jimmy Dorsey,"""My Sister and I""",Decca,1,[1]
7/5/1941,Jimmy Dorsey,"""Maria Elena""",Decca,1,[1]
7/12/1941,Sammy Kaye,"""Daddy""",Victor,7,[1]
8/30/1941,Jimmy Dorsey,"""Green Eyes (Aquellos Ojos Verdes)""",Decca,4,[1]
9/27/1941,Jimmy Dorsey,"""Blue Champagne""",Decca,1,[1]
10/4/1941,Freddy Martin,"""Piano Concerto in B Flat""",Bluebird,8,[1]
11/29/1941,Glenn Miller,"""Chattanooga Choo Choo""",Bluebird,3,[1]
12/20/1941,Glenn Miller,"""Elmer's Tune""",Bluebird,1,[1]
12/27/1941,Glenn Miller,"""Chattanooga Choo Choo""",Bluebird,6,[1]
1942,,,,,
2/7/1942,Glenn Miller,"""A String of Pearls""",Bluebird,1,[1]
2/14/1942,Woody Herman,"""Blues in the Night (My Mama Done Tol' Me)""",Decca,1,[1]
2/21/1942,Glenn Miller,"""A String of Pearls""",Bluebird,1,[1]
2/28/1942,Glenn Miller,"""Moonlight Cocktail""",Bluebird,10,[1]
5/9/1942,Jimmy Dorsey,"""Tangerine""",Decca,6,[1]
6/20/1942,Harry James,"""Sleepy Lagoon""",Columbia,4,[1]
7/18/1942,Kay Kyser,"""Jingle Jangle Jingle""",Columbia,8,[1]
9/12/1942,Glenn Miller,"""(I've Got a Gal In) Kalamazoo""",Victor,7,[1]
10/31/1942,Bing Crosby,"""White Christmas""",Decca,11,[1]
1943,,,,,
1/16/1943,Tommy Dorsey,"""There Are Such Things""",Victor,4,[1]
2/13/1943,Harry James,"""I Had The Craziest Dream""",Columbia,2,[1]
2/27/1943,Tommy Dorsey,"""There Are Such Things""",Victor,1,[1]
3/6/1943,Harry James,"""I've Heard That Song Before""",Columbia,12,[1]
5/29/1943,Glenn Miller,"""That Old Black Magic""",Victor,1,[1]
6/5/1943,Harry James,"""I've Heard That Song Before""",Columbia,1,[1]
6/12/1943,Benny Goodman,"""Taking A Chance On Love""",Columbia,3,[1]
7/3/1943,The Song Spinners,"""Comin' In On A Wing And A Prayer""",Decca,3,[1]
7/24/1943,Dick Haymes,"""You'll Never Know""",Decca,4,[1]
8/21/1943,Tommy Dorsey,"""In the Blue of Evening""",Victor,3,[1]
