1/15/2000,Christina Aguilera,"""What a Girl Wants""",2
1/29/2000,Savage Garden,"""I Knew I Loved You""",4
2/19/2000,Mariah Carey featuring Joe and 98 Degrees,"""Thank God I Found You""",1
3/4/2000,Lonestar,"""Amazed""",2
3/18/2000,Destiny's Child,"""Say My Name""",3
4/8/2000,Santana featuring The Product G&B,"""Maria Maria""",10
6/17/2000,Aaliyah,"""Try Again""",1
6/24/2000,Enrique Iglesias,"""Be With You""",3
7/15/2000,Vertical Horizon,"""Everything You Want""",1
7/22/2000,Matchbox Twenty,"""Bent""",1
7/29/2000,'N Sync,"""It's Gonna Be Me""",2
8/12/2000,Sisqó,"""Incomplete""",2
8/26/2000,Janet Jackson,"""Doesn't Really Matter""",3
9/16/2000,Madonna,"""Music""",4
10/14/2000,Christina Aguilera,"""Come On Over Baby (All I Want Is You)""",4
11/11/2000,Creed,"""With Arms Wide Open""",1
11/18/2000,Destiny's Child,"""Independent Women""",11
,,,
2/3/2001,Shaggy featuring Ricardo 'Rikrok' Ducent,"""It Wasn't Me""",2
2/17/2001,Outkast,"""Ms. Jackson""",1
2/24/2001,Joe featuring Mystikal,"""Stutter""",4
3/24/2001,Crazy Town,"""Butterfly""",2
3/31/2001,Shaggy featuring Rayvon,"""Angel""",1
4/14/2001,Janet Jackson,"""All For You""",7
6/2/2001,"Christina Aguilera, Lil' Kim, Mýa and Pink","""Lady Marmalade""",5
7/7/2001,Usher,"""U Remind Me""",4
8/4/2001,Destiny's Child,"""Bootylicious""",2
8/18/2001,Alicia Keys,"""Fallin'""",6
9/8/2001,Jennifer Lopez featuring Ja Rule,"""I'm Real""",5
11/3/2001,Mary J. Blige,"""Family Affair""",6
12/15/2001,Usher,"""U Got It Bad""",6
12/22/2001,Nickelback,"""How You Remind Me""?[C]",4
,,,
2/23/2002,Ja Rule featuring Ashanti,"""Always on Time""",2
3/9/2002,Jennifer Lopez featuring Ja Rule,"""Ain't It Funny""",6
4/20/2002,Ashanti,"""Foolish""",10
6/29/2002,Nelly,"""Hot in Herre""",7
8/17/2002,Nelly featuring Kelly Rowland,"""Dilemma""",10
10/5/2002,Kelly Clarkson,"""A Moment Like This""",2
11/9/2002,Eminem,"""Lose Yourself""",12
,,,
2/1/2003,B2K featuring P. Diddy,"""Bump, Bump, Bump""",1
2/8/2003,Jennifer Lopez featuring LL Cool J,"""All I Have""",4
3/8/2003,50 Cent,"""In da Club""?[D]",9
5/10/2003,Sean Paul,"""Get Busy""",3
5/31/2003,50 Cent featuring Nate Dogg,"""21 Questions""",4
6/28/2003,Clay Aiken,"""This Is the Night""",2
7/12/2003,Beyoncé featuring Jay-Z,"""Crazy in Love""",8
