top_year,artist,song,released,url,id
1944,Jimmy Dorsey,Besame Mucho (Kiss Me Much),2015,https://open.spotify.com/track/0K4koPTtpq2AC3RdJZPFmO,0K4koPTtpq2AC3RdJZPFmO
1944,Guy Lombardo,It's Love-Love-Love,1996,https://open.spotify.com/track/7LGxMhX6OBlg3XIl33MQ5M,7LGxMhX6OBlg3XIl33MQ5M
1944,Bing Crosby,I Love You,1993,https://open.spotify.com/track/4l17uyehDHZ4oIdL0bpelm,4l17uyehDHZ4oIdL0bpelm
1944,Harry James,I'll Get By (As Long as I Have You),2007,https://open.spotify.com/track/7Abo681VCQDFLKRiip8wdV,7Abo681VCQDFLKRiip8wdV
1944,Bing Crosby,I'll Be Seeing You,1993,https://open.spotify.com/track/41tS0alsQVJVU6dIrvzie1,41tS0alsQVJVU6dIrvzie1
1944,Harry James,I'll Get By (As Long as I Have You),2007,https://open.spotify.com/track/7Abo681VCQDFLKRiip8wdV,7Abo681VCQDFLKRiip8wdV
1944,Bing Crosby,I'll Be Seeing You,1993,https://open.spotify.com/track/41tS0alsQVJVU6dIrvzie1,41tS0alsQVJVU6dIrvzie1
1944,Bing Crosby,Swinging On A Star,1962,https://open.spotify.com/track/7xy0PAZxzGDOcYzyptvprd,7xy0PAZxzGDOcYzyptvprd
1944,Mills Brothers,You Always Hurt The One You Love,1995,https://open.spotify.com/track/42og107RMzQPsQUIJBSUbD,42og107RMzQPsQUIJBSUbD
1944,Dinah Shore,I'll Walk Alone,2001,https://open.spotify.com/track/6ERO0jiPo4Ss717LiKF405,6ERO0jiPo4Ss717LiKF405
1944,Mills Brothers,You Always Hurt The One You Love,1995,https://open.spotify.com/track/42og107RMzQPsQUIJBSUbD,42og107RMzQPsQUIJBSUbD
1944,Dinah Shore,I'll Walk Alone,2001,https://open.spotify.com/track/6ERO0jiPo4Ss717LiKF405,6ERO0jiPo4Ss717LiKF405
1944,Mills Brothers,You Always Hurt The One You Love,1995,https://open.spotify.com/track/42og107RMzQPsQUIJBSUbD,42og107RMzQPsQUIJBSUbD
1944,The Ink Spots and Ella Fitzgerald,I'm Making Believe,2010,https://open.spotify.com/track/7g81jRaavOmX27gIiD7uZA,7g81jRaavOmX27gIiD7uZA
1944,Bing Crosby and The Andrews Sisters,Don't Fence Me In,2010,https://open.spotify.com/track/71HCc4ZB8uZy2KymA3e1Pa,71HCc4ZB8uZy2KymA3e1Pa
1945,The Andrews Sisters,Rum and Coca-Cola,1987,https://open.spotify.com/track/3M2jdVXsYo6Q7qpmh5nvX6,3M2jdVXsYo6Q7qpmh5nvX6
1945,Les Brown & Doris Day,My Dreams Are Getting Better All The Time,2012,https://open.spotify.com/track/6Si1b79QTkvrsaw6SYZEGM,6Si1b79QTkvrsaw6SYZEGM
1945,Les Brown & Doris Day,Sentimental Journey,2012,https://open.spotify.com/track/0M3nInkCWKL9n1FYa8PDMG,0M3nInkCWKL9n1FYa8PDMG
1945,Johnny Mercer,"On the Atchison, Topeka and the Santa Fe",2019,https://open.spotify.com/track/4Azs7Whbmw6NOlCCbJ8La1,4Azs7Whbmw6NOlCCbJ8La1
1945,Perry Como,Till The End Of Time,1993,https://open.spotify.com/track/2wFNN8HOdk8kuZ5B48ADoA,2wFNN8HOdk8kuZ5B48ADoA
1945,Sammy Kaye,Chickery Chick,2019,https://open.spotify.com/track/6bzAvDKbXtGdg8afTFrmKs,6bzAvDKbXtGdg8afTFrmKs
1945,Harry James,"It's Been A Long, Long Time",1939,https://open.spotify.com/track/52XDumqYDUXX16R7FM5fpV,52XDumqYDUXX16R7FM5fpV
1945,Bing Crosby and The Les Paul Trio,"It's Been A Long, Long Time",1993,https://open.spotify.com/track/4sF6Y45X2b8icGHgWyEI22,4sF6Y45X2b8icGHgWyEI22
1945,Sammy Kaye,Chickery Chick,2019,https://open.spotify.com/track/6bzAvDKbXtGdg8afTFrmKs,6bzAvDKbXtGdg8afTFrmKs
1945,Harry James,"It's Been A Long, Long Time",1939,https://open.spotify.com/track/52XDumqYDUXX16R7FM5fpV,52XDumqYDUXX16R7FM5fpV
1945,Sammy Kaye,Chickery Chick,2019,https://open.spotify.com/track/6bzAvDKbXtGdg8afTFrmKs,6bzAvDKbXtGdg8afTFrmKs
1946,Freddy Martin,Symphony,2019,https://open.spotify.com/track/5WwsOFIPbfmLmu7xcxEnUo,5WwsOFIPbfmLmu7xcxEnUo
1946,Bing Crosby and Carmen Cavallaro,I Can't Begin To Tell You, , ,not_found
1946,Vaughn Monroe,Let It Snow! Let It Snow! Let It Snow!,2008,https://open.spotify.com/track/0GEQ0otjCdvAelfJqGifX1,0GEQ0otjCdvAelfJqGifX1
1946,Betty Hutton,"Doctor, Lawyer, Indian Chief",1994,https://open.spotify.com/track/6jFwWVTkRvNxOs719elJhA,6jFwWVTkRvNxOs719elJhA
1946,Johnny Mercer,Personality,1957,https://open.spotify.com/track/2qkqnpWaSM6zWqDpQWaFEL,2qkqnpWaSM6zWqDpQWaFEL
1946,Frankie Carle,Oh! What it Seemed to Be,2020,https://open.spotify.com/track/1wPS1alBjzwfF4WzEcRbF1,1wPS1alBjzwfF4WzEcRbF1
1946,Sammy Kaye,I'm A Big Girl Now,2019,https://open.spotify.com/track/29V4bAgNvmdKoLHdwaUcNw,29V4bAgNvmdKoLHdwaUcNw
1946,Perry Como,Prisoner of Love,2010,https://open.spotify.com/track/14lgH3pas87OwAfFrouSSe,14lgH3pas87OwAfFrouSSe
1946,The Ink Spots,The Gypsy,1998,https://open.spotify.com/track/4kuoSXnEyTKWypYkvjjnwd,4kuoSXnEyTKWypYkvjjnwd
1946,Perry Como,Surrender,2000,https://open.spotify.com/track/4QjM7smqeTJRmzen3TgoaB,4QjM7smqeTJRmzen3TgoaB
1946,Eddy Howard,To Each His Own,1996,https://open.spotify.com/track/4xRdYnoXKNDPPrEicGPGCe,4xRdYnoXKNDPPrEicGPGCe
1946,Freddy Martin,To Each His Own,2019,https://open.spotify.com/track/6xZROeoCqaLsZyCBvcoCwB,6xZROeoCqaLsZyCBvcoCwB
1946,Frank Sinatra,Five Minutes More,1993,https://open.spotify.com/track/08jcVB28seFgQ5WrQiLKZQ,08jcVB28seFgQ5WrQiLKZQ
1946,The Ink Spots,To Each His Own,1998,https://open.spotify.com/track/1xaWXoK9hKH3Op9VDCgqZT,1xaWXoK9hKH3Op9VDCgqZT
1946,Frank Sinatra,Five Minutes More,1993,https://open.spotify.com/track/08jcVB28seFgQ5WrQiLKZQ,08jcVB28seFgQ5WrQiLKZQ
1946,Eddy Howard,To Each His Own,1996,https://open.spotify.com/track/4xRdYnoXKNDPPrEicGPGCe,4xRdYnoXKNDPPrEicGPGCe
1946,Frankie Carle,Rumors Are Flying,2006,https://open.spotify.com/track/7AoGplARvZSMmwYrsWjSfy,7AoGplARvZSMmwYrsWjSfy
1946,Kay Kyser,Ole Buttermilk Sky,2019,https://open.spotify.com/track/0TmAEExcehH3J65ZQk8QLy,0TmAEExcehH3J65ZQk8QLy
1946,Sammy Kaye,The Old Lamp-Lighter,2019,https://open.spotify.com/track/2krjpKeibbelvxHL0sgdSq,2krjpKeibbelvxHL0sgdSq
1947,The King Cole Trio,(I Love You) For Sentimental Reasons, , ,not_found
